"AGE","STAGE","YEARS","OD_PROB_1Y","CD_PROB_1Y","OD_PROB_1M","CD_PROB_1M"
"(59,64]","Regional",9,0.0109417204022387,0.00887442403417082,0.000916414942776389,0.000742560520915703
"(59,64]","Regional",10,0.0111075933439057,0.00846428829814194,0.000930378871591087,0.000708108657423989
"(59,64]","Distant",0,0.00998976208107116,0.222168262506546,0.000836316306974894,0.020719428698613
"(59,64]","Distant",1,0.0118348827126677,0.258697750703712,0.00099163071209496,0.0246370006575101
"(59,64]","Distant",2,0.0129501076435488,0.199791999579091,0.00108563454914545,0.0184022051256962
"(59,64]","Distant",3,0.0137888532255881,0.150613755982951,0.00115639773152865,0.013511329389391
"(59,64]","Distant",4,0.0144741373714784,0.117641183162714,0.00121425466044844,0.0103755061936724
"(59,64]","Distant",5,0.0150547255615514,0.0958315830027484,0.00126330122059892,0.00835983013976571
"(59,64]","Distant",6,0.0155583654364084,0.0812133428322682,0.00130586886057515,0.00703359188113917
"(59,64]","Distant",7,0.0160040490020977,0.071244483970734,0.00134355468597624,0.00614021666010989
"(59,64]","Distant",8,0.016404332737406,0.064344474487355,0.00137741496107335,0.00552699453097172
"(59,64]","Distant",9,0.016767988432278,0.0595204772288938,0.00140818779751595,0.00510073046700488
"(59,64]","Distant",10,0.0170214227493507,0.0568380605893021,0.00142963978223343,0.00486456973424854
"(64,69]","Localized",0,0.0102021780658164,0.0140732105911555,0.000854183059255442,0.00118040088054461
"(64,69]","Localized",1,0.0120862921214956,0.0167449032512448,0.00101281386184771,0.00140623400088546
"(64,69]","Localized",2,0.0132250489487372,0.0124945435006023,0.00110882468800422,0.00104722266698054
"(64,69]","Localized",3,0.0140814744356064,0.00916645709033015,0.00118109854234527,0.000767099592731801
"(64,69]","Localized",4,0.014781192120458,0.00703543294942388,0.00124019053564539,0.000588185143103215
"(64,69]","Localized",5,0.0153740005935762,0.00566678353820382,0.00129028402907672,0.00047346293712347
"(64,69]","Localized",6,0.0158882350859006,0.00476675443067132,0.001333760262613,0.000398100040263083
"(64,69]","Localized",7,0.0163432894051504,0.00416069938805319,0.00137225044764744,0.000347387912018937
"(64,69]","Localized",8,0.0167519855816475,0.00374479870690103,0.00140683340402792,0.000312603464349914
"(64,69]","Localized",9,0.0171232808539648,0.00345574589235687,0.00143826300468186,0.000288435958875399
"(64,69]","Localized",10,0.0173820375131077,0.00329562077627854,0.00146017281261779,0.000275050774545815
"(64,69]","Regional",0,0.00983987732027714,0.0418740732500014,0.000823711301059071,0.00355832594181771
"(64,69]","Regional",1,0.0116574774183719,0.0496887309654906,0.000976685943158806,0.00423813501987969
"(64,69]","Regional",2,0.0127560932380193,0.0372363635013653,0.00106927381595545,0.00315728378654379
"(64,69]","Regional",3,0.0135823596625969,0.0274101898854595,0.00113897119089468,0.002313391477619
"(64,69]","Regional",4,0.014257455770049,0.0210832582714992,0.0011959567566463,0.0017741480244583
"(64,69]","Regional",5,0.0148294179626028,0.0170053101970405,0.00124426468252292,0.00142827578198457
