"AGE","STAGE","YEARS","OD_HAZARD","OD_LOWER","OD_UPPER","CD_HAZARD","CD_LOWER","CD_UPPER"
"(54,59]","Regional",6,0.00850132437438256,0.00787725476217059,0.00917483575831993,0.0184045308681496,0.0176507725049542,0.0191904836579574
"(54,59]","Regional",7,0.00868811909840137,0.00804382480561983,0.00938402050121478,0.0159284598450576,0.0152442589824984,0.0166433731436559
"(54,59]","Regional",8,0.00885808029895436,0.00819416238395875,0.00957579145683827,0.0142445979642438,0.0136097304540389,0.0149090827728699
"(54,59]","Regional",9,0.00901489861118857,0.00833230217204385,0.00975341491186238,0.0130838462452583,0.0124854466189797,0.0137109266683133
"(54,59]","Regional",10,0.00912574557926255,0.00842982392949617,0.00987911883735006,0.0124450411915775,0.0118682656317226,0.0130498469672001
"(54,59]","Distant",0,0.00888252732327987,0.00808609428518635,0.00975740438402692,0.353518680373585,0.340722189753518,0.366795958783222
"(54,59]","Distant",1,0.0105656360922988,0.00960912821554164,0.0116173566852131,0.412414545795984,0.397368346363555,0.428030471370003
"(54,59]","Distant",2,0.0114650814292261,0.010425129806073,0.0126087727342338,0.294847931180065,0.283983126116731,0.306128412914003
"(54,59]","Distant",3,0.0120749524736385,0.0109819802053868,0.0132767019022008,0.211850013860796,0.203860862079591,0.220152280733686
"(54,59]","Distant",4,0.0125316564503709,0.0113969532595772,0.0137793329957669,0.15988799744276,0.153581920443144,0.166453051159863
"(54,59]","Distant",5,0.0129062269021057,0.0117318838338713,0.0141981202576647,0.127036690209109,0.121737603810125,0.132566490660968
"(54,59]","Distant",6,0.0132318500655318,0.0120186146869217,0.0145675577945867,0.105698862556427,0.101040208773796,0.110572351661391
"(54,59]","Distant",7,0.0135225859170772,0.0122718617232462,0.0149007822388194,0.0914785657922928,0.0872536131678236,0.0959081210158762
"(54,59]","Distant",8,0.0137871213028168,0.0125007045992584,0.0152059207255103,0.0818079968014718,0.0778918955314286,0.0859209967300464
"(54,59]","Distant",9,0.0140312004960853,0.0127110586802316,0.0154884499284243,0.0751416961341992,0.07145331879119,0.0790204706065807
"(54,59]","Distant",10,0.014203727786797,0.0128595409805953,0.0156884202434486,0.0714729817261502,0.0679188960729249,0.0752130469161586
"(59,64]","Localized",0,0.00833670292128942,0.00783563504352619,0.0088698439214266,0.0220057678513113,0.0211382870862748,0.0229088929238769
"(59,64]","Localized",1,0.00991638596428477,0.00934775710433598,0.0105196064485099,0.0256719071922869,0.0247016822246003,0.0266802425115391
"(59,64]","Localized",2,0.0107605610841574,0.0101619384130578,0.0113944502636461,0.0183536415052558,0.0176784811464449,0.0190545876470409
"(59,64]","Localized",3,0.0113329560267812,0.0107207207682706,0.0119801560634759,0.0131872019305775,0.0127046222858498,0.0136881123172858
"(59,64]","Localized",4,0.0117615958990179,0.0111362295968564,0.0124220803866834,0.00995267958744993,0.00957917165800928,0.0103407526322864
"(59,64]","Localized",5,0.0121131492875475,0.0114680450767791,0.0127945422932447,0.00790775726585757,0.00759741596629338,0.00823077757114981
"(59,64]","Localized",6,0.0124187631606013,0.0117491150398146,0.0131265789377606,0.00657952397057599,0.00630818981941162,0.00686253085127132
"(59,64]","Localized",7,0.0126916335199808,0.0119955620347522,0.0134280971456564,0.00569434147035393,0.00544885697261618,0.00595088685020444
"(59,64]","Localized",8,0.0129399134118197,0.0122173344570056,0.0137052293491562,0.00509236961422115,0.00486506176260165,0.00533029848902533
"(59,64]","Localized",9,0.0131689941283197,0.0124208286069222,0.0139622260821222,0.00467740691760772,0.00446343194574045,0.00490164002728664
"(59,64]","Localized",10,0.0133309197510767,0.0125644381484832,0.0141441598350421,0.0044490374365637,0.00424292303897317,0.00466516454107911
"(59,64]","Regional",0,0.00826813523351771,0.00776913886596293,0.00879920852218848,0.0634212258037015,0.0612703638551026,0.0656477584295885
"(59,64]","Regional",1,0.00983482570442634,0.00926482519146849,0.010439895369505,0.0739871398196488,0.0716005899761154,0.0764532410779836
"(59,64]","Regional",2,0.0106720576554479,0.0100683020213053,0.011312019891597,0.0528956976230056,0.0512322892720983,0.0546131142963518
"(59,64]","Regional",3,0.0112397447659612,0.010618528853171,0.0118973045612531,0.0380058772322426,0.0368054305245601,0.0392454795414006
"(59,64]","Regional",4,0.0116648591623349,0.0110269618095339,0.0123396581703653,0.0286838952284022,0.0277378061052267,0.0296622611435669
"(59,64]","Regional",5,0.0120135210956685,0.0113530734855058,0.0127123895759715,0.0227903730761629,0.021988430870386,0.0236215721641105
"(59,64]","Regional",6,0.0123166213567075,0.0116295317693778,0.0130443060351694,0.0189623683317146,0.0182493086619625,0.0197032969312419
"(59,64]","Regional",7,0.0125872474128198,0.0118721444292088,0.0133454247600976,0.0164112481161696,0.015758090646636,0.017091482915529
"(59,64]","Regional",8,0.012833485252991,0.0120906310260654,0.0136219818862399,0.0146763487355513,0.0140664505970366,0.0153126934077155
"(59,64]","Regional",9,0.0130606818271398,0.0122912302072468,0.0138783033720792,0.0134804148758535,0.0129031921590406,0.0140834605761567
"(59,64]","Regional",10,0.0132212756445478,0.0124328523804964,0.0140596963849847,0.0128222477752174,0.0122647655021801,0.0134050698303074
"(59,64]","Distant",0,0.0128689038217522,0.0118832063278146,0.0139363637464574,0.364233757296502,0.352434291753113,0.376428495610172
"(59,64]","Distant",1,0.0153073725234792,0.0141184469022793,0.0165964193737393,0.424914744025012,0.410980865795203,0.439321047860518
"(59,64]","Distant",2,0.0166104786229679,0.0153163981140806,0.0180138958667288,0.303784710022469,0.293682048030792,0.314234909834215
"(59,64]","Distant",3,0.0174940528050191,0.0161346973833549,0.0189679345584553,0.218271143268274,0.210793924122358,0.226013626685627
